"classe","ordem","familia","genero","nome_cientifico","nome_cientifico_anterior","nome_comum","categoria","criterio"
"Mammalia","Cetartiodactyla","Cervidae","Mazama","Mazama americana","Mazama americana","Guassu-pará, Guatapará, Suaçupita, Veado-capoeiro, Veado-mateiro, Veado-pardo, Veado-retovado, Veado-vermelho","Dados Insuficientes",NA
"Mammalia","Perissodactyla","Tapiridae","Tapirus","Tapirus terrestris","Tapirus terrestris","Anta","Vulnerável","A2cd"
"Aves","Galliformes","Cracidae","Aburria","Aburria cujubi","Aburria cujubi","cujubi","Vulnerável","A2d"
"Aves","Galliformes","Cracidae","Ortalis","Ortalis guttata","Ortalis guttata","aracuã-pintado","Menos Preocupante",NA
"Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus zabele","Crypturellus noctivagus zabele","zabelé","Vulnerável","A2cd"
"Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus brevirostris","Crypturellus brevirostris","inhambu-carijó","Menos Preocupante",NA
"Aves","Galliformes","Cracidae","Pauxi","Pauxi tomentosa","Pauxi tomentosa","mutum-do-norte","Menos Preocupante",NA
"Aves","Gruiformes","Psophiidae","Psophia","Psophia napensis","Psophia napensis","uru-do-campo","Menos Preocupante",NA
"Aves","Gruiformes","Psophiidae","Psophia","Psophia leucoptera","Psophia leucoptera","jacamim-de-costas-brancas","Menos Preocupante",NA
"Aves","Gruiformes","Psophiidae","Psophia","Psophia viridis","Psophia viridis","jacamim-de-costas-verdes","Vulnerável","A2c"
"Mammalia","Carnivora","Mustelidae","Mustela","Mustela africana","Mustela africana","Doninha, doninha amazônica","Menos Preocupante",NA
"Mammalia","Carnivora","Canidae","Speothos","Speothos venaticus","Speothos venaticus","cachorro-do-mato-vinagre, cachorro-vinagre","Vulnerável","C1"
"Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus duidae","Crypturellus duidae","inhambu-de-pé-cinza","Menos Preocupante",NA
"Aves","Galliformes","Cracidae","Crax","Crax fasciolata","Crax fasciolata","mutum, mutum-de-penacho, mutum-pinima, mutum-poranga","Menos Preocupante",NA
"Aves","Galliformes","Cracidae","Ortalis","Ortalis araucuan","Ortalis araucuan","aracuã-de-barriga-branca","Menos Preocupante",NA
"Aves","Galliformes","Cracidae","Pauxi","Pauxi tuberosa","Pauxi tuberosa","Mutum-cavalo","Menos Preocupante",NA
"Mammalia","Cingulata","Dasypodidae","Priodontes","Priodontes maximus","Priodontes maximus","Tatu-açú, Tatu-canastra","Vulnerável","A2cd"
"Mammalia","Pilosa","Bradypodidae","Bradypus","Bradypus tridactylus","Bradypus tridactylus","Preguiça-de-bentinho, Preguiça-de-garganta-amarela, Preguiça-de-três-dedos","Menos Preocupante",NA
"Mammalia","Pilosa","Megalonychidae","Choloepus","Choloepus hoffmanni","Choloepus hoffmanni","preguiça-real","Quase Ameaçada",NA
"Mammalia","Cingulata","Dasypodidae","Dasypus","Dasypus septemcinctus","Dasypus septemcinctus","Muleta, Mulita, Tatu-bolinha, Tatu-china, Tatu-í, Tatu-mirim, Tatu-mula","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Caluromys","Caluromys philander","Caluromys philander","Cuíca, Cuíca-lanosa, Mucura-xixica","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis marsupialis","Didelphis marsupialis","Gambá-de-orelha-preta, Mucura","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Hyladelphys","Hyladelphys kalinowskii","Hyladelphys kalinowskii","Catita, Guaiquica, Peru gracile mouse opossum","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Marmosa","Marmosa waterhousei","Marmosa waterhousei","Cuíca, Marmosa","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Marmosops","Marmosops noctivagus","Marmosops noctivagus","Cuíca, Marmosa, White-bellied slender opossum","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Marmosops","Marmosops pinheiroi","Marmosops pinheiroi","Cuíca, Marmosa, Pinheiro’s slender opossum","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Metachirus","Metachirus nudicaudatus","Metachirus nudicaudatus","Cuíca-de-quatro-olhos, Cuíca-marrom, Cuíca-rabo-de-rato, Jupati","Menos Preocupante",NA
"Mammalia","Rodentia","Erethizontidae","Coendou","Coendou insidiosus","Coendou insidiosus","Bahian Hairy Dwarf Porcupine, Ouriço-cacheiro","Menos Preocupante",NA
"Mammalia","Rodentia","Erethizontidae","Coendou","Coendou prehensilis","Coendou prehensilis",NA,"Quase Ameaçada",NA
"Mammalia","Rodentia","Erethizontidae","Coendou","Coendou spinosus","Coendou spinosus","Ouriço-cacheiro, Paraguay Hairy Dwarf Porcupine, Porcupine, Spiny Tree Porcupine","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis americana","Monodelphis americana","Catita, Catita de listra, Catita-de-listras","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis arlindoi","Monodelphis arlindoi","Catita","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis brevicaudata","Monodelphis brevicaudata","Catita, Northern Red-sided Opossum, Opossum-musaraigne À Pattes Roughes, Red-legged Short-tailed Opossum","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis emiliae","Monodelphis emiliae","Catita","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Philander","Philander quica","Philander frenatus","Carachupa, Cucha gris de cuatro ojos, Cuíca-de-quatro-olhos, Guaiki, Mucura-de-quatro-olhos, Pericote, Quica opossum, Rabipelao, Rajá, Raposa huevera, Southeastern Four-eyed Opossum, Zorro","Menos Preocupante",NA
"Mammalia","Rodentia","Dasyproctidae","Dasyprocta","Dasyprocta iacki","Dasyprocta iacki","Cutia, Cutia-de-garupa-laranja, Red-rumped Agouti","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Trinomys","Trinomys setosus","Trinomys setosus","Elegant- spined Atlantic Spiny rat, Hairy Atlantic Spiny-rat, Hairy Spiny Rat, Rato-do-espinho","Menos Preocupante",NA
"Mammalia","Rodentia","Sciuridae","Hadrosciurus","Hadrosciurus igniventris","Hadrosciurus igniventris","Esquilo, Quatipuru, Southern Amazon Red Squirrel","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Isothrix","Isothrix sinnamariensis","Isothrix sinnamariensis","Rato coró, Rato do mato","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Kannabateomys","Kannabateomys amblyonyx","Kannabateomys amblyonyx","Atlantic Bamboo Rat, Rato-da-taquara","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Mesomys","Mesomys stimulax","Mesomys stimulax","Pará Spiny Tree-rat, Rato-do-espinho","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Proechimys","Proechimys cuvieri","Proechimys cuvieri","Cuvier’s Spiny-rat, Rato-de-espinho","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Proechimys","Proechimys goeldii","Proechimys goeldii",NA,"Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Proechimys","Proechimys roberti","Proechimys roberti",NA,"Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Phyllomys","Phyllomys blainvilii","Phyllomys blainvilii","Golden Atlantic Tree-rat, Rato-da-árvore","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Phyllomys","Phyllomys kerri","Phyllomys kerri","Kerr’s Atlantic Tree-rat, Rato-da-árvore","Quase Ameaçada",NA
"Mammalia","Rodentia","Echimyidae","Phyllomys","Phyllomys mantiqueirensis","Phyllomys mantiqueirensis","Mantiqueira Atlantic Tree-rat, Rato-da-árvore","Dados Insuficientes",NA
"Mammalia","Rodentia","Echimyidae","Phyllomys","Phyllomys pattoni","Phyllomys pattoni","Rato-da-árvore, Rusty-sided Atlantic Tree-rat","Menos Preocupante",NA
"Mammalia","Rodentia","Echimyidae","Phyllomys","Phyllomys sulinus","Phyllomys sulinus","Rato-da-árvore, Southern Atlantic Tree-rat","Menos Preocupante",NA
"Aves","Galliformes","Cracidae","Aburria","Aburria jacutinga","Aburria jacutinga","jacutinga","Em Perigo","C2a(i)"
"Aves","Galliformes","Cracidae","Ortalis","Ortalis squamata","Ortalis squamata","aracuã-escamoso","Menos Preocupante",NA
"Aves","Tinamiformes","Tinamidae","Nothura","Nothura boraquira","Nothura boraquira","codorna-do-nordeste","Menos Preocupante",NA
"Aves","Tinamiformes","Tinamidae","Rhynchotus","Rhynchotus rufescens","Rhynchotus rufescens","perdiz","Menos Preocupante",NA
"Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus noctivagus","Crypturellus noctivagus","jaó-do-sul","Menos Preocupante",NA
"Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus strigulosus","Crypturellus strigulosus","inambu-relógio","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Mico","Mico humeralifer","Mico humeralifer","Sagui-de-tufos","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Mico","Mico saterei","Mico saterei","Sagui-dos-saterê","Menos Preocupante",NA
"Mammalia","Primates","Cebidae","Sapajus","Sapajus cay","Sapajus cay","Macaco-prego, macaco-prego-do-papo-amarelo","Vulnerável","A4cd"
"Mammalia","Primates","Pitheciidae","Plecturocebus","Plecturocebus miltoni",NA,NA,"Menos Preocupante",NA
"Mammalia","Primates","Atelidae","Ateles","Ateles chamek",NA,"Coatá, Coatá-preto, Macaco-aranha, Macaco-aranha-da-cara-preta","Vulnerável","A4cd"
"Mammalia","Primates","Atelidae","Ateles","Ateles marginatus","Ateles marginatus","Coatá-da-testa-branca, Cuamba (Pará), Guatá (Mato Grosso), Macaco-aranha","Em Perigo","A4cd"
"Mammalia","Primates","Atelidae","Ateles","Ateles paniscus","Ateles paniscus","Coatá, Macaco-aranha","Menos Preocupante",NA
"Mammalia","Primates","Atelidae","Alouatta","Alouatta belzebul","Alouatta belzebul","Bugio, Guariba, Guariba-de-mãos-ruivas, Guariba-de-mãos-vermelhas","Vulnerável","A2cd"
"Mammalia","Primates","Atelidae","Alouatta","Alouatta discolor","Alouatta discolor","Guariba-de-mãos-ruivas, guariba-de-mãos-vermelhas","Vulnerável","A4cd"
"Mammalia","Primates","Atelidae","Alouatta","Alouatta nigerrima","Alouatta nigerrima","Guariba-de-mãos-ruivas, guariba-preta","Menos Preocupante",NA
"Mammalia","Primates","Atelidae","Alouatta","Alouatta ululata","Alouatta ululata","capelão, Guariba, guariba-da-Caatinga","Em Perigo","C2a(i)"
"Mammalia","Primates","Callitrichidae","Callithrix","Callithrix aurita","Callithrix aurita","sagui-caveirinha, Sagui-da-serra-escuro","Em Perigo","A4cde"
"Mammalia","Primates","Callitrichidae","Callithrix","Callithrix kuhlii","Callithrix kuhlii","Sagui-de-wied","Quase Ameaçada",NA
"Mammalia","Primates","Callitrichidae","Callithrix","Callithrix penicillata","Callithrix penicillata","Mico-estrela, Sagui-de-tufos-pretos","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Leontocebus","Leontocebus fuscicollis","Saguinus fuscicollis avilapiresi","Sagui-de-cara-suja","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Saguinus","Saguinus imperator","Saguinus imperator imperator","Bigodeiro, Mono Bigotudo, Mono Nicolás Suárez","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Saguinus","Saguinus mystax","Saguinus mystax mystax","Sagui-de-bigode","Menos Preocupante",NA
"Mammalia","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Saguinus nigricollis","Sauim","Menos Preocupante",NA
"Mammalia","Primates","Pitheciidae","Chiropotes","Chiropotes utahickae","Chiropotes utahickae","Cuxiú","Vulnerável","A2c"
"Mammalia","Primates","Pitheciidae","Plecturocebus","Plecturocebus caligatus","Callicebus caligatus","Zogue-zogue","Menos Preocupante",NA
"Mammalia","Primates","Pitheciidae","Cheracebus","Cheracebus lugens","Callicebus lugens","Sauá-de-colar, zogue-zogue","Menos Preocupante",NA
"Mammalia","Primates","Pitheciidae","Plecturocebus","Plecturocebus pallescens","Callicebus pallescens","sauá e boca-d’água, Zogue-zogue","Dados Insuficientes",NA
"Mammalia","Primates","Pitheciidae","Pithecia","Pithecia albicans","Pithecia albicans","macaco-velho, macaco-voador, Parauacu-branco","Menos Preocupante",NA
"Mammalia","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus trivirgatus","Macaco-da-noite, Macaco-da-noite-de-pescoço-cinza","Menos Preocupante",NA
"Mammalia","Primates","Cebidae","Cacajao","Cacajao calvus","Cacajao calvus calvus","bicó, Uacari-branco","Menos Preocupante",NA
"Mammalia","Primates","Pitheciidae","Cacajao","Cacajao novaesi","Cacajao calvus novaesi","bicó, Uacari, uacari-de-Novaes","Quase Ameaçada",NA
"Mammalia","Primates","Pitheciidae","Cacajao","Cacajao ucayalii","Cacajao calvus ucayalii","Uacari","Dados Insuficientes",NA
"Mammalia","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis handleyi",NA,NA,"Dados Insuficientes",NA
"Mammalia","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus tapetillus",NA,"Rio de Janeiro Dwarf Cottontail, Small tapetí","Quase Ameaçada",NA
"Mammalia","Cetartiodactyla","Cervidae","Mazama","Mazama nana","Mazama nana","Veado-bororó-do-sul, Veado-mão-curta","Vulnerável","A3cde"
"Mammalia","Cetartiodactyla","Cervidae","Odocoileus","Odocoileus virginianus","Odocoileus virginianus","Veado-da-cara-branca, Veado-galheiro","Dados Insuficientes",NA
"Aves","Galliformes","Cracidae","Penelope","Penelope jacquacu","Penelope jacquacu","jacu-de-spix","Menos Preocupante",NA
"Aves","Gruiformes","Psophiidae","Psophia","Psophia ochroptera","Psophia ochroptera","jacamim-de-costas-amarelas","Menos Preocupante",NA
"Mammalia","Carnivora","Procyonidae","Bassaricyon","Bassaricyon alleni","Bassaricyon alleni","Gatiara, gogó-de-sola, janaú e macaco janauí/janauaí/januí, macaco da noite","Menos Preocupante",NA
"Mammalia","Carnivora","Canidae","Cerdocyon","Cerdocyon thous","Cerdocyon thous","Cachorro do mato, fusquinho, graxaim, graxaim do mato, guancito, guaraxaim, guaraxo, lobete, lobinho, mata-virgem, rabo-fofo, raposa, raposão, raposinha-do-mato","Menos Preocupante",NA
"Mammalia","Carnivora","Canidae","Chrysocyon","Chrysocyon brachyurus","Chrysocyon brachyurus","Guará, Lobão, Lobo, Lobo-de-crina, Lobo-de-juba, Lobo-guará, Lobo-vermelho","Vulnerável","C1"
"Mammalia","Carnivora","Mephitidae","Conepatus","Conepatus chinga","Conepatus chinga","cangambá, gambá, zorrilho","Menos Preocupante",NA
"Mammalia","Carnivora","Mephitidae","Conepatus","Conepatus semistriatus","Conepatus semistriatus","cangambá, gambá, jatitataca, jirita, tacaca, ticaca, zorrilho","Menos Preocupante",NA
"Mammalia","Carnivora","Mustelidae","Eira","Eira barbara","Eira barbara","Irara, papa-mel","Menos Preocupante",NA
"Mammalia","Carnivora","Mustelidae","Galictis","Galictis cuja","Galictis cuja","aracambé, cachorrinho ao, furão, furão pequeno","Menos Preocupante",NA
"Mammalia","Carnivora","Mustelidae","Galictis","Galictis vittata","Galictis vittata","furão grande, furão maior","Menos Preocupante",NA
"Mammalia","Carnivora","Felidae","Leopardus","Leopardus pardalis","Leopardus pardalis","Canguçu, Gato-do-mato-grande, Jaguatirica, Maracajá, meia-malha, Oncinha","Menos Preocupante",NA
"Mammalia","Carnivora","Felidae","Leopardus","Leopardus wiedii","Leopardus wiedii","Gato-do-mato, Gato-maracajá, Gato-peludo, Maracajá-peludo","Vulnerável","A4b"
"Mammalia","Carnivora","Felidae","Panthera","Panthera onca","Panthera onca","Canguçu, Onça-pintada, Onça-preta","Vulnerável","A2cd"
"Mammalia","Carnivora","Felidae","Puma","Puma concolor","Puma concolor","Bodeira, Leão-baio, Leãozinho-da-cara-suja, Onça-do-lombo-preto, Onça-parda, Onça-vermelha, Suçuarana","Quase Ameaçada",NA
"Aves","Galliformes","Cracidae","Crax","Crax globulosa","Crax globulosa","mutum-açu, mutum-de-assovio, mutum-de-fava, mutum-fava, mutum-piurí","Em Perigo","A3cd+4cd"
"Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus undulatus","Crypturellus undulatus","jaó, juó, macucau, macucaua, macucauá, sururina","Menos Preocupante",NA
"Aves","Tinamiformes","Tinamidae","Nothura","Nothura minor","Nothura minor","codorna-mineira","Em Perigo","A4cd"
"Aves","Galliformes","Cracidae","Ortalis","Ortalis canicollis","Ortalis canicollis","aracuã-do-pantanal","Menos Preocupante",NA
"Aves","Tinamiformes","Tinamidae","Taoniscus","Taoniscus nanus","Taoniscus nanus","codorna-carapé, inhambu-carapé","Em Perigo","B2ab(ii,iii)"
"Aves","Galliformes","Cracidae","Penelope","Penelope jacucaca","Penelope jacucaca","jacucaca","Vulnerável","A2b"
"Aves","Tinamiformes","Tinamidae","Crypturellus","Crypturellus cinereus","Crypturellus cinereus","Inambu-pixuna","Menos Preocupante",NA
"Aves","Gruiformes","Psophiidae","Psophia","Psophia interjecta","Psophia interjecta","jacamim-do-xingu","Em Perigo","A2cd"
"Aves","Tinamiformes","Tinamidae","Tinamus","Tinamus tao","Tinamus tao","azulona","Vulnerável","A2cd"
"Mammalia","Pilosa","Bradypodidae","Bradypus","Bradypus torquatus","Bradypus torquatus","Aí-pixuna, Preguiça-de-coleira, Preguiça-preta","Vulnerável","B2ab(iii)"
"Mammalia","Cingulata","Dasypodidae","Cabassous","Cabassous tatouay","Cabassous tatouay","Tatu-de-rabo-mole-grande","Menos Preocupante",NA
"Mammalia","Cingulata","Dasypodidae","Cabassous","Cabassous unicinctus","Cabassous unicinctus","cabassú (variação de capacou - tatu em Galibi - grupo indígena da Guiana Francesa, tatu-de-rabo-mole, tatu-de-rabo-mole-pequeno, tatu-rabo-de-couro","Menos Preocupante",NA
"Mammalia","Pilosa","Cyclopedidae","Cyclopes","Cyclopes didactylus","Cyclopes didactylus","Tamanduá-cigarra, Tamanduá-i, Tamanduaí, Tamanduá-seda","Menos Preocupante",NA
"Mammalia","Pilosa","Cyclopedidae","Cyclopes","Cyclopes xinguensis",NA,"Tamanduaí","Menos Preocupante",NA
"Mammalia","Pilosa","Cyclopedidae","Cyclopes","Cyclopes thomasi",NA,"Tamanduaí","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Caluromysiops","Caluromysiops irrupta","Caluromysiops irrupta","Cuíca, Cuíca-amazônica, Cuíca-de-colete","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Chironectes","Chironectes minimus","Chironectes minimus","Cassaco d´água, Cuíca-d’água, Raposa-d’água","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Cryptonanus","Cryptonanus agricolai","Cryptonanus agricolai","Catita, Guaiquica","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis albiventris","Didelphis albiventris","Gambá-de-orelha-branca, Mucura, Saruê","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Didelphis","Didelphis aurita","Didelphis aurita","Gambá, Gambá-de-orelha-preta","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Gracilinanus","Gracilinanus agilis","Gracilinanus agilis","Catita, Cuíca, Cuiquinha, Guaiquica","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Lutreolina","Lutreolina crassicaudata","Lutreolina crassicaudata","Cuíca de cauda grossa, Cuíca-marrom","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Marmosa","Marmosa lepida","Marmosa lepida","Cuíca, Marmosa","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Marmosa","Marmosa murina","Marmosa murina","Cuíca, Marmosa","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Marmosops","Marmosops incanus","Marmosops incanus","Cuíca, Guaiquica, Opossum-souris gris","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Marmosops","Marmosops parvidens","Marmosops parvidens","Marmosa","Menos Preocupante",NA
"Mammalia","Rodentia","Erethizontidae","Coendou","Coendou baturitensis","Coendou baturitensis","Baturite Porcupine, Porco-espinho-de-baturité","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis domestica","Monodelphis domestica","Catita, Cuíca do rabo curto, Mbicuré-í","Menos Preocupante",NA
"Mammalia","Didelphimorphia","Didelphidae","Monodelphis","Monodelphis glirina","Monodelphis glirina","Catita, Cuíca","Menos Preocupante",NA
